HPGL_ID,Condition,Batch
HPGL0252,epi,E
HPGL0253,epi,E
HPGL0254,epi,E
HPGL0062,trypo,A
HPGL0249,trypo,E
HPGL0250,trypo,E
HPGL0251,trypo,E
HPGL0064,4,A
HPGL0112,4,C
HPGL0066,6,A
HPGL0113,6,B
HPGL0114,6,C
HPGL0068,12,A
HPGL0115,12,B
HPGL0054,20,D
HPGL0059,20,D
HPGL0070,24,A
HPGL0116,24,B
HPGL0117,24,C
HPGL0056,48,D
HPGL0060,48,D
HPGL0072,48,A
HPGL0258,48,C
HPGL0058,72,D
HPGL0061,72,D
HPGL0256,72,E
