id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de
510,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,6,FALSE,1,290,290,5879,16,278,126,17,0.0099,1199.94636330806,12,7,11,0.0173,33.0228483166812,26444
511,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,7,FALSE,1,306,306,5879,16,260,116,15,0.0094,1136.64758762804,18,10,15,0.014,45.4333349569659,26444
512,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,8,FALSE,1,297,297,5879,16,270,102,14,0.009,1108.40673025442,14,10,11,0.0207,37.2046342095806,26444
513,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,9,FALSE,1,282,282,5879,15,214,112,13,0.0112,853.472297961553,13,8,10,0.0153,38.0506604796611,26444
514,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,10,FALSE,1,300,300,5879,15,194,104,10,0.0102,812.312567015165,12,9,10,0.0212,33.3013135158454,26444
515,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,11,FALSE,1,298,298,5879,15,293,125,16,0.0084,975.865292578169,13,8,12,0.0149,29.1461046232819,26444
516,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,12,FALSE,1,295,295,5879,16,324,144,16,0.0091,1195.07303005685,13,7,12,0.0098,36.7739812754843,26444
517,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,13,FALSE,1,288,288,5879,16,307,139,17,0.0089,1150.80713054308,17,12,12,0.0136,42.4253675387347,26444
518,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor,14,FALSE,1,292,292,5879,15,279,122,14,0.0092,868.915052220199,12,8,10,0.0133,31.3050724088889,26444
519,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,1,FALSE,1,280,280,5879,16,267,147,19,0.0108,1014.12187417819,18,13,9,0.0167,45.2656993065223,26444
51,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor-dist,9,FALSE,1,297,297,5879,15,194,105,14,0.0141,445.387219679877,5,3,5,0.0266,8.28912792584721,26444
520,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,2,FALSE,1,270,270,5879,17,203,87,17,0.0079,892.451091042801,21,16,11,0.0187,51.0003185805874,26444
521,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,3,FALSE,1,303,303,5879,15,264,108,16,0.0082,1090.63152760383,22,17,11,0.0157,55.4176389478531,26444
522,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,4,FALSE,1,288,288,5879,15,308,116,16,0.0091,996.554871503958,25,18,14,0.0196,54.9352888757755,26444
523,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,5,FALSE,1,295,295,5879,16,302,124,18,0.01,862.557066007448,21,15,11,0.0171,46.9456166762331,26444
524,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,6,FALSE,1,284,284,5879,15.5,259,108,13,0.008,891.471825328995,20,15,12,0.0143,48.5349306927036,26444
525,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,7,FALSE,1,291,291,5879,16,288,106,16,0.0098,979.59162053272,20,15,9,0.0166,50.4231145365657,26444
526,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,8,FALSE,1,291,291,5879,16,293,117,18,0.0097,948.263667378634,26,20,15,0.0195,62.2813918067741,26444
527,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,9,FALSE,1,272,272,5879,17,265,109,16,0.0104,862.377249651136,23,20,12,0.0161,59.3228863386155,26444
528,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,10,FALSE,1,282,282,5879,17,290,119,13,0.0099,964.654738286062,18,14,11,0.0184,47.856312915639,26444
529,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,11,FALSE,1,286,286,5879,16,263,114,15,0.0111,927.784661052488,21,17,12,0.0218,46.6232984190528,26444
52,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor-dist,10,FALSE,1,299,299,5879,15,154,91,15,0.0158,320.79096488821,6,4,6,0.0261,10.5374706263466,26444
530,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,12,FALSE,1,271,271,5879,16,276,126,15,0.0119,850.500192810649,19,15,11,0.0171,42.9172115665403,26444
531,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,13,FALSE,1,294,294,5879,15.5,244,111,12,0.0111,745.060211796081,15,12,10,0.0144,37.995979821015,26444
532,signed,1,FALSE,TRUE,FALSE,TRUE,none,bicor,14,FALSE,1,281,281,5879,16,267,111,13,0.0135,797.655102305553,20,16,11,0.0177,45.5324682062144,26444
533,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,1,FALSE,1,304,304,5879,16,230,85,12,0.0081,891.791024462131,22,18,14,0.0171,46.3530456761,26444
534,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,2,FALSE,1,307,307,5879,16,263,78,16,0.0101,911.73121748509,16,11,12,0.0168,34.1312795866323,26444
535,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,3,FALSE,1,298,298,5879,15,230,92,15,0.0082,828.486376406966,22,19,12,0.0189,47.7133226578902,26444
536,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,4,FALSE,1,299,299,5879,16,223,97,16,0.0092,835.937361438576,17,12,13,0.0192,37.8788845904406,26444
537,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,5,FALSE,1,306,306,5879,16,282,132,18,0.0112,1000.65031776506,20,15,11,0.0119,52.4967621783063,26444
538,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,6,FALSE,1,297,297,5879,16,261,104,15,0.0093,934.325084916344,24,18,14,0.0125,57.0473764278207,26444
539,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,7,FALSE,1,283,283,5879,17,217,91,12,0.0113,769.684100546628,19,16,11,0.0132,47.2421817906994,26444
53,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor-dist,11,FALSE,1,300,300,5879,16,138,81,13,0.012,383.99993146478,7,4,7,0.0254,12.7595790513297,26444
540,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,8,FALSE,1,302,302,5879,15,265,128,17,0.0129,845.294962365358,20,17,11,0.0185,46.9977131308443,26444
541,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,9,FALSE,1,283,283,5879,16,204,92,14,0.009,764.157530242196,20,15,11,0.0153,46.6585683923722,26444
542,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,10,FALSE,1,303,303,5879,16,239,90,17,0.0108,775.301263129703,20,16,11,0.0152,45.2729462921617,26444
543,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,11,FALSE,1,297,297,5879,16,218,96,14,0.0065,1038.90985728441,23,19,11,0.0166,59.3869372687605,26444
544,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,12,FALSE,1,297,297,5879,16,235,100,16,0.0079,1032.23170789592,21,19,12,0.0174,53.7936179881727,26444
545,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,13,FALSE,1,299,299,5879,16,214,91,15,0.0082,883.898106694156,23,19,13,0.0195,51.4598204001571,26444
546,signed,1,FALSE,TRUE,FALSE,TRUE,none,spearman,14,FALSE,1,300,300,5879,15.5,213,82,13,0.0061,878.62880278629,24,20,13,0.0164,57.4698486234873,26444
547,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,1,FALSE,1,287,287,5879,16,230,73,13,0.0089,877.516217069515,19,14,9,0.0134,47.4957837042714,26444
548,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,2,FALSE,1,292,292,5879,16,291,161,18,0.0093,1102.97820997701,30,18,15,0.0166,68.5903770546516,26444
549,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,3,FALSE,1,299,299,5879,16,297,139,12,0.0103,945.791389380117,19,13,14,0.0227,39.2721038740922,26444
54,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor-dist,12,FALSE,1,295,295,5879,16,181,89,12,0.0104,462.62229331767,6,4,5,0.025,11.3780835335991,26444
550,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,4,FALSE,1,285,285,5879,17,208,94,12,0.007,918.092001714701,16,11,13,0.0219,34.9279054619738,26444
551,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,5,FALSE,1,293,293,5879,16,212,96,13,0.0076,840.889589257302,22,14,11,0.0181,47.5271210084835,26444
552,signed,1,FALSE,TRUE,FALSE,TRUE,none,cor-dist,6,FALSE,1,296,296,5879,16,248,119,14,0.0085,924.79218064286,22,17,10,0.0264,42.656592531867,26444
