id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
152,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,12,FALSE,1,839,839,17309,16,865,681,39,0.0126,2702.0531744208,54,46,30,0.0216,117.312169610838,45887,9224334.50,10594.72,311,212,32,0.0149,946.11910300841,91,87,21,0.0305,144.112756476288
153,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,13,FALSE,1,848,848,17309,16,995,791,54,0.014,2722.41928328349,86,59,33,0.0241,157.121758971177,45887,7890877.00,9300.60,314,213,35,0.0101,1057.43949954569,43,43,23,0.0292,68.5705603384812
154,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,14,FALSE,1,858,858,17309,16,892,719,41,0.0132,2740.42333724769,52,46,25,0.0218,112.896744231191,45887,6805726.63,8215.67,265,220,24,0.0151,726.816727897921,38,37,15,0.0318,60.2016855368897
155,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,1,FALSE,1,837,837,17309,16,1447,903,67,0.0125,4586.6043135042,94,60,35,0.0116,287.986196636742,45887,169260145.07,110612.62,358,266,47,0.0145,1260.11556679624,121,114,24,0.0267,204.644412684371
156,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,2,FALSE,1,824,824,17309,16,1525,978,73,0.0113,4740.27632775346,88,64,37,0.0194,202.548737120758,45887,108830150.28,74005.68,356,219,46,0.0155,1127.12830836507,223,184,19,0.0272,368.263447617324
157,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,3,FALSE,1,851,851,17309,16,1521,1003,71,0.0125,5127.88358388289,83,52,30,0.0107,268.709745399866,45887,75282582.64,51980.31,364,257,50,0.0152,1244.37250721843,330,277,30,0.0262,561.120315408175
158,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,4,FALSE,1,843,843,17309,16,1613,958,66,0.0133,4578.26797572292,88,58,34,0.0108,262.367363724995,45887,54159688.24,37571.44,411,220,48,0.0115,1524.41191227549,215,190,27,0.0298,348.489886408498
159,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,5,FALSE,1,836,836,17309,17,1763,1099,62,0.0116,5836.87580710184,82,55,43,0.0162,190.285090233777,45887,39836554.09,27652.53,420,298,45,0.0148,1428.59836688643,301,243,28,0.0238,527.850262689564
15,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,1,FALSE,1,840,840,17256,16,737,616,54,0.0168,1864.48414402592,99,67,28,0.0149,218.926581388272,45887,169571182.21,114083.59,457,364,42,0.017,1113.8257454646,93,88,23,0.0327,145.512777754352
160,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,6,FALSE,1,838,838,17309,16,1625,986,66,0.0133,5099.33983477773,99,65,40,0.0124,271.364792968797,45887,29717633.44,20611.37,423,292,40,0.0112,1397.67398850091,250,208,32,0.0279,412.507877912472
161,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,7,FALSE,1,825,825,17309,17,1833,1082,64,0.0141,5504.54440086988,145,110,40,0.0207,293.737148914373,45887,22398887.84,15514.18,419,281,43,0.0141,1414.8911385399,182,154,25,0.028,298.355492046064
162,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,8,FALSE,1,845,845,17309,16,1639,972,62,0.0129,5265.5958676574,84,58,33,0.0105,319.831947439225,45887,17025817.69,11773.37,401,307,51,0.0113,1490.08905270303,197,178,30,0.0266,334.961917322148
163,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,9,FALSE,1,860,860,17309,16,1629,914,65,0.014,4648.3820896985,163,123,40,0.0151,386.309389504805,45887,13038366.95,8998.92,311,230,47,0.0162,1034.92637915264,240,203,23,0.0303,385.61532098409
