id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de
2146,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,4,FALSE,1,301,301,5879,15,185,88,11,0.0088,16,12,8,0.0082,26444
2147,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,5,FALSE,1,300,300,5879,16,239,96,11,0.0079,20,16,11,0.0105,26444
2148,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,6,FALSE,1,294,294,5879,15,152,71,7,0.0073,14,11,6,0.0056,26444
2149,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,7,FALSE,1,290,290,5879,16,220,63,9,0.0045,17,13,10,0.0124,26444
214,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,4,FALSE,1,288,288,5879,16,273,140,13,0.0093,21,16,12,0.017,26444
2150,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,8,FALSE,1,281,281,5879,16,202,67,9,0.0068,16,12,10,0.0204,26444
2151,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,9,FALSE,1,281,281,5879,15,255,77,12,0.0081,20,14,13,0.0151,26444
2152,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,10,FALSE,1,269,269,5879,15,168,76,9,0.0083,18,16,11,0.0174,26444
2153,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,11,FALSE,1,245,245,5879,16,181,81,9,0.0061,16,13,9,0.0118,26444
2154,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,12,FALSE,1,237,237,5879,15,172,87,8,0.0045,12,10,7,0.0129,26444
2155,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,13,FALSE,1,220,220,5879,15.5,279,86,13,0.005,17,11,10,0.0167,26444
2156,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,14,FALSE,1,230,230,5879,15,282,97,13,0.0071,16,11,10,0.0078,26444
2157,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,1,FALSE,1,304,304,5879,15.5,189,68,10,0.0051,14,11,12,0.0156,26444
2158,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,2,FALSE,1,294,294,5879,16,225,72,15,0.0089,20,16,15,0.0178,26444
2159,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,3,FALSE,1,289,289,5879,16,212,76,13,0.0083,17,14,13,0.0146,26444
215,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,5,FALSE,1,301,301,5879,15,269,97,16,0.0083,14,10,11,0.0111,26444
2160,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,4,FALSE,1,301,301,5879,16,192,73,9,0.006,14,11,11,0.0177,26444
2161,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,5,FALSE,1,285,285,5879,16,199,80,10,0.0094,14,11,10,0.0244,26444
2162,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,6,FALSE,1,279,279,5879,17,222,91,10,0.005,14,10,10,0.0243,26444
2163,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,7,FALSE,1,292,292,5879,15,182,79,10,0.0057,14,9,12,0.0234,26444
2164,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,8,FALSE,1,289,289,5879,16,157,66,9,0.0078,11,8,9,0.0276,26444
2165,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,9,FALSE,1,269,269,5879,16,163,68,7,0.005,7,5,7,0.0184,26444
2166,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,10,FALSE,1,269,269,5879,16,145,61,7,0.0055,4,3,4,0.0185,26444
2167,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,11,FALSE,1,257,257,5879,15,175,56,7,0.0059,7,4,7,0.0149,26444
2168,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,12,FALSE,1,255,255,5879,15,190,67,8,0.0057,8,6,8,0.0161,26444
