id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval
1313,signed,1,TRUE,TRUE,FALSE,TRUE,combat,bicor,11,FALSE,1,813,813,16206,16,638,503,53,0.0127,79,61,31,0.0148,42248,8707045.21,687.12,247,167,40,0.0108
1314,signed,1,TRUE,TRUE,FALSE,TRUE,combat,bicor,12,FALSE,1,818,818,16206,16,680,553,49,0.0121,97,75,36,0.0184,42248,7456252.34,605.04,277,206,45,0.0134
1315,signed,1,TRUE,TRUE,FALSE,TRUE,combat,bicor,13,FALSE,1,809,809,16206,16,815,622,51,0.0108,104,84,33,0.0189,42248,6440450.61,536.62,337,256,42,0.013
1316,signed,1,TRUE,TRUE,FALSE,TRUE,combat,bicor,14,FALSE,1,818,818,16206,16,716,482,50,0.0103,86,63,38,0.014,42248,5605612.63,478.98,373,253,43,0.0134
1317,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,1,FALSE,1,796,796,16206,16,665,549,38,0.0086,73,57,30,0.0168,42248,131722951.80,6960.78,282,154,33,0.0088
1318,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,2,FALSE,1,806,806,16206,16,576,491,43,0.0149,65,52,34,0.0166,42248,78861003.96,4343.33,200,128,33,0.0104
1319,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,3,FALSE,1,795,795,16206,16,540,443,47,0.013,65,50,33,0.0167,42248,52417166.44,3015.17,202,121,29,0.0105
131,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,5,FALSE,1,799,799,16206,16,931,640,56,0.0107,81,56,37,0.0166,42248,62894775.47,4284.92,325,183,43,0.0122
1320,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,4,FALSE,1,807,807,16206,16,501,414,43,0.0155,72,58,36,0.0195,42248,37250440.77,2234.03,249,156,38,0.012
1321,signed,1,TRUE,TRUE,FALSE,TRUE,combat,spearman,5,FALSE,1,819,819,16206,16,660,572,43,0.0119,78,67,41,0.0168,42248,27718515.42,1728.88,245,151,37,0.0141
