id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
724,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,10,FALSE,1,170,170,3605,17,218,57,9,0.003,12,9,10,0.015,2856,6,6,4,0.0275
725,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,11,FALSE,1,181,181,3605,17,246,58,9,0.0038,19,14,16,0.0203,2856,5,5,3,0.027
726,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,12,FALSE,1,176,176,3605,17,350,117,15,0.0053,23,15,19,0.0151,2856,4,4,3,0.0215
727,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,13,FALSE,1,175,175,3605,17,267,67,8,0.0046,11,6,11,0.0089,2856,2,2,2,0.0161
728,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,14,FALSE,1,172,172,3605,17,280,83,10,0.006,12,6,12,0.0062,2856,0,0,0,NaN
729,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,1,FALSE,1,173,173,3605,17,286,77,13,0.005,15,10,11,0.0122,2856,0,0,0,NaN
72,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,2,FALSE,1,167,167,3605,17,311,87,13,0.0064,11,6,11,0.0111,2856,2,2,2,0.0188
730,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,2,FALSE,1,174,174,3605,16,314,77,15,0.0052,15,10,12,0.0139,2856,0,0,0,NaN
731,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,3,FALSE,1,171,171,3605,17,292,55,10,0.0035,12,7,12,0.0177,2856,0,0,0,NaN
732,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,4,FALSE,1,178,178,3605,16,296,59,11,0.0033,9,4,9,0.0178,2856,0,0,0,NaN
733,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,5,FALSE,1,179,179,3605,15,258,61,10,0.0042,9,5,9,0.0145,2856,0,0,0,NaN
734,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,6,FALSE,1,168,168,3605,16,251,54,8,0.004,11,8,10,0.0146,2856,1,1,1,0.0457
735,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,7,FALSE,1,179,179,3605,16,274,48,7,0.0044,12,9,11,0.0187,2856,1,1,1,0.0415
736,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,8,FALSE,1,182,182,3605,16,335,140,9,0.0055,10,7,9,0.0095,2856,1,1,1,0.0395
737,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,9,FALSE,1,178,178,3605,16,248,53,7,0.0039,9,6,8,0.0186,2856,1,1,1,0.0395
738,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,10,FALSE,1,181,181,3605,16,247,52,6,0.0038,8,5,8,0.0119,2856,2,2,2,0.0372
739,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,11,FALSE,1,173,173,3605,16,288,93,9,0.0057,16,12,10,0.0166,2856,3,3,2,0.0326
73,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,3,FALSE,1,176,176,3605,16,318,107,14,0.0085,8,4,8,0.0121,2856,3,3,3,0.0283
740,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,12,FALSE,1,176,176,3605,16,291,70,11,0.0058,9,6,8,0.0135,2856,1,1,1,0.0395
741,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,13,FALSE,1,180,180,3605,16,325,76,12,0.0037,13,8,11,0.0156,2856,0,0,0,NaN
742,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,14,FALSE,1,177,177,3605,16,357,108,11,0.0089,11,6,9,0.013,2856,2,2,2,0.0379
743,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,1,FALSE,1,169,169,3605,17,368,145,14,0.0079,11,5,11,0.0188,2856,1,1,1,0.0234
