id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1106,signed,1,TRUE,TRUE,FALSE,FALSE,limma,spearman,14,FALSE,1,219,219,8890,29,397,157,10,0.0048,2166.18737710756,11,4,11,0.0099,52.6073612168238,2856,7,6,3,0.0128,14.7659274429364
1107,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,1,FALSE,1,215,215,8890,32,196,94,8,0.0049,1255.61336635647,9,6,9,0.0097,37.2864315928818,2856,7,7,3,0.0204,12.5101797736338
1108,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,211,211,8890,33,225,179,7,0.0044,1235.96870810772,7,6,7,0.0134,29.8116822649214,2856,4,4,3,0.0347,5.98497107856519
1109,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,221,221,8890,33,226,124,11,0.0102,1284.85526515004,7,5,7,0.0124,32.8077742422428,2856,7,7,2,0.0127,14.5344131052083
110,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,12,FALSE,1,186,186,8890,30.5,393,224,14,0.0086,1931.63955590935,15,11,14,0.0136,59.4964754166672,2856,6,6,4,0.0184,12.7066427617325
1110,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,225,225,8890,31,203,96,9,0.0065,1256.59252714948,18,16,13,0.026,49.9943172186715,2856,6,6,2,0.0108,12.8614668554307
1111,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,5,FALSE,1,224,224,8890,32,282,173,12,0.0105,1421.61776789736,9,7,9,0.0115,36.8073404202772,2856,10,10,4,0.014,21.1638659100966
1112,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,6,FALSE,1,213,213,8890,30,201,94,13,0.0066,1250.32979894983,8,6,8,0.015,34.1105226967579,2856,10,9,3,0.0132,20.9194444714079
1113,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,7,FALSE,1,221,221,8890,32,231,147,13,0.0121,1274.62109739081,15,13,15,0.0179,48.8383513553717,2856,7,7,2,0.0165,14.1287516776246
1114,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,8,FALSE,1,210,210,8890,32,272,180,13,0.0079,1411.84172002412,11,9,11,0.0113,41.4318726352029,2856,6,6,3,0.0268,9.7057885028037
1115,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,9,FALSE,1,211,211,8890,32,297,195,12,0.0117,1423.04050073341,9,7,9,0.0134,36.6301895692333,2856,6,6,2,0.023,10.5691176079828
1116,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,10,FALSE,1,201,201,8890,33,262,177,10,0.0061,1399.18215582474,11,9,10,0.0167,39.8011648208168,2856,8,8,3,0.0075,18.0557626011268
1117,signed,1,TRUE,TRUE,FALSE,FALSE,limma,cor-dist,11,FALSE,1,193,193,8890,34,203,157,12,0.0063,1113.0995086271,9,8,7,0.0145,33.2562677136367,2856,7,7,3,0.0152,13.8282735833345
