id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
221,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,11,FALSE,1,439,439,29219,33,2638,1845,23,0.0087,11222.7205450684,62,53,21,0.0131,225.697631596776,55119,13486622.21,5510.97,661,516,25,0.0117,3016.98740321703,307,181,24,0.021,642.586640755053
222,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,12,FALSE,1,416,416,29219,33,2014,1397,25,0.0103,8666.80105922229,53,47,18,0.0125,190.039936879743,55119,10346534.57,4218.05,579,450,24,0.0098,2464.13610043802,288,201,22,0.0203,658.95579090027
223,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,13,FALSE,1,481,481,29219,32,3375,1618,45,0.0099,12950.6835364925,77,55,32,0.0123,213.735263716,55119,7995829.32,3247.73,807,540,49,0.0126,2617.9575154804,555,277,26,0.0196,1226.62707042987
224,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,14,FALSE,1,494,494,29219,34,3439,1442,59,0.0107,11690.151789513,66,44,27,0.0142,154.54997731656,55119,6223623.17,2514.51,834,533,49,0.0138,2439.336563582,479,253,30,0.0218,989.464803363752
225,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,1,FALSE,1,465,465,29219,40,2292,1764,38,0.0099,9427.59894023631,86,72,25,0.0145,281.946258967835,55119,428276917.21,169728.78,663,497,28,0.0067,2893.94272772491,503,265,33,0.0148,1361.60145530709
226,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,2,FALSE,1,456,456,29219,38.5,1978,1644,36,0.0087,8829.9335724548,101,72,28,0.0149,302.379522169421,55119,239541599.08,110545.88,738,594,29,0.0103,2991.64662537218,399,206,32,0.0187,934.299695610975
227,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,3,FALSE,1,445,445,29219,43,2080,1749,28,0.0091,9006.56346221633,111,86,25,0.0168,307.230834872115,55119,145273268.77,80079.56,696,531,27,0.0108,2926.17525951133,528,301,30,0.0177,1285.16512010276
228,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,4,FALSE,1,425,425,29219,39,2221,1686,30,0.0099,9214.77137577812,76,65,26,0.0121,237.013821384398,55119,93987510.49,61806.79,677,483,30,0.0103,2762.63202628557,747,396,38,0.0172,1727.92419950264
229,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,5,FALSE,1,428,428,29219,39,2005,1682,33,0.009,8892.71348935195,73,64,22,0.0106,260.009842779715,55119,64129021.81,49739.08,695,562,27,0.0093,3205.28290083006,710,329,39,0.0193,1597.82967266394
22,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,8,FALSE,1,293,293,29109,35,2515,1969,24,0.0077,12086.086324183,86,79,18,0.0083,364.023125537045,55119,115737099.57,145484.98,806,695,25,0.0106,3311.67754687596,374,271,15,0.0079,1845.92677751516
230,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,6,FALSE,1,417,417,29219,41,2141,1776,29,0.0096,8908.27615507347,99,87,20,0.0191,285.537810060923,55119,45737789.93,41227.72,663,566,27,0.0069,3115.18519463814,566,249,35,0.015,1572.54581384241
231,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,7,FALSE,1,426,426,29219,40,1948,1552,33,0.0095,8632.04194108569,86,74,23,0.0151,269.681544001633,55119,33853864.66,34931.81,596,453,29,0.0069,2711.39380189167,469,246,40,0.0208,969.460461477811
232,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,8,FALSE,1,457,457,29219,39,1975,1649,30,0.0097,8223.72023925398,92,74,26,0.0145,273.719235992206,55119,25851876.48,30103.91,791,628,35,0.0111,3172.70753466207,546,250,31,0.0176,1239.39297814197
233,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,9,FALSE,1,460,460,29219,39.5,2000,1623,34,0.0095,8507.29540124554,72,60,26,0.0129,244.691566493141,55119,20268313.08,26296.13,582,448,32,0.0076,2821.63290645511,446,220,35,0.0183,1013.95882529734
234,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,10,FALSE,1,463,463,29219,38,1895,1538,35,0.0102,8125.57704902988,70,59,23,0.0126,228.943356913553,55119,16249785.23,23224.53,630,514,30,0.0086,2872.89871804066,399,228,27,0.0183,941.202641703248
235,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,11,FALSE,1,502,502,29219,37,1713,1360,31,0.0093,7554.09083907526,80,65,28,0.0125,227.876083579322,55119,13278550.70,20700.75,734,547,27,0.0105,2744.07253383202,573,369,39,0.0202,1182.06927547758
236,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,12,FALSE,1,536,536,29219,34,1757,1407,42,0.0087,7931.53064145639,71,59,29,0.0122,227.69325219339,55119,11029244.87,18595.10,633,474,30,0.0104,2666.21241195319,462,252,34,0.0227,935.193485511621
