id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
209,signed,1,FALSE,FALSE,FALSE,TRUE,none,spearman,13,FALSE,1,422,422,9122,16,669,257,33,0.0073,2672.36169556907,21,12,20,0.0133,72.6545644000101,57258,7,7,5,0.0166,15.677470283686
20,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,6,FALSE,1,449,449,9122,16,940,400,31,0.0054,4659.85727188896,31,22,25,0.0141,124.55687851707,57258,9,9,6,0.0109,30.7613043332584
210,signed,1,FALSE,FALSE,FALSE,TRUE,none,spearman,14,FALSE,1,408,408,9122,17,735,305,33,0.0094,3135.00321232298,17,9,16,0.01,71.623301287744,57258,4,4,3,0.0176,9.99251562522173
211,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,1,FALSE,1,443,443,9122,15,696,238,33,0.0061,3929.14054992488,24,16,23,0.0094,131.516081310707,57258,13,13,7,0.0237,34.7234836136829
212,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,2,FALSE,1,458,458,9122,15,869,300,40,0.0071,4610.49029622832,33,23,29,0.0126,137.654317217206,57258,11,11,6,0.0254,30.4479568221731
213,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,3,FALSE,1,433,433,9122,17,874,275,40,0.0055,4618.70853718841,27,15,25,0.0102,129.775242315736,57258,10,10,5,0.0272,28.3416861696581
214,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,4,FALSE,1,441,441,9122,17,765,278,36,0.0062,4122.49592281981,25,16,25,0.0103,123.062279409024,57258,11,11,5,0.0262,30.6713496917139
215,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,5,FALSE,1,453,453,9122,16,823,284,41,0.006,4534.69042147465,26,18,24,0.0083,130.555234622442,57258,12,12,6,0.0247,32.7776203442289
216,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,6,FALSE,1,440,440,9122,17,782,274,40,0.0052,4319.01917858479,25,17,23,0.0103,124.396957198129,57258,13,13,7,0.0244,37.3010502157981
217,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,7,FALSE,1,457,457,9122,16,828,325,41,0.0077,4088.11573916456,26,15,25,0.0121,124.454991639037,57258,8,8,5,0.0183,23.7120695234783
218,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,8,FALSE,1,452,452,9122,16,741,289,34,0.0058,4041.86461495177,21,11,20,0.0111,106.497814747837,57258,13,13,7,0.0314,22.553687316699
219,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,9,FALSE,1,454,454,9122,16,857,371,38,0.008,4607.50400143309,23,14,21,0.0078,130.384320218045,57258,7,7,5,0.0111,23.0099413065119
21,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,7,FALSE,1,446,446,9122,16,824,378,25,0.0055,4129.91520551698,28,19,25,0.0116,108.691364618919,57258,10,10,5,0.0311,15.6845133752185
220,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,10,FALSE,1,432,432,9122,16,799,287,34,0.0067,4050.22369617422,24,14,23,0.0081,124.850199904149,57258,8,8,5,0.0157,24.1561482339712
221,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,11,FALSE,1,440,440,9122,16,870,349,35,0.0073,4496.82942272067,27,17,25,0.0086,134.020440763701,57258,7,7,4,0.0162,23.5830670054801
222,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,12,FALSE,1,436,436,9122,15,777,266,31,0.0052,4347.13488600976,30,23,24,0.0133,129.150502681663,57258,7,7,5,0.023,13.4061384334375
223,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,13,FALSE,1,409,409,9122,15,823,367,36,0.0065,4273.0341757094,26,19,25,0.0117,124.443455539538,57258,12,12,7,0.0264,22.9679378293217
224,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,14,FALSE,1,368,368,9122,15,871,371,33,0.0058,4405.71289717189,21,13,21,0.0085,115.414377084341,57258,13,13,7,0.026,24.600801885197
225,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,1,FALSE,1,456,456,9122,15,844,355,41,0.006,4391.17109840359,33,24,25,0.0097,147.715597723669,57258,8,8,4,0.0192,26.0347556056987
226,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,2,FALSE,1,448,448,9122,17,841,357,46,0.0072,4381.79797376587,33,23,27,0.0111,147.331197726884,57258,13,12,8,0.0205,35.4561084033306
227,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,3,FALSE,1,452,452,9122,16,889,401,44,0.0065,4360.32084024923,33,21,29,0.0106,148.414836808593,57258,8,7,5,0.0089,28.6404039212856
228,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,4,FALSE,1,447,447,9122,17,952,475,45,0.0081,4405.63763731825,50,29,37,0.0173,175.432903263234,57258,8,8,6,0.0118,28.6735316453219
229,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,5,FALSE,1,446,446,9122,16,781,390,42,0.0073,3920.56742646965,48,33,35,0.0162,169.567644558147,57258,8,8,6,0.0103,29.0971675034934
22,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,8,FALSE,1,443,443,9122,16,905,389,26,0.005,4456.06885071483,31,22,27,0.0109,127.592015948708,57258,8,8,5,0.0094,28.4402808029916
230,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,6,FALSE,1,456,456,9122,16,1018,475,44,0.0073,4724.5825456364,49,32,32,0.0149,178.553732476596,57258,9,9,5,0.0186,22.7726023164722
231,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,7,FALSE,1,444,444,9122,16,882,447,45,0.0064,4509.5733388031,54,30,37,0.0148,188.89037635505,57258,15,15,8,0.0111,44.5575586899739
232,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,8,FALSE,1,432,432,9122,16,1089,498,46,0.0069,4844.29319913315,53,26,34,0.0135,186.544276922949,57258,11,11,7,0.0129,35.1227810766732
233,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,9,FALSE,1,463,463,9122,15,1073,459,47,0.0075,4973.14025149254,42,25,33,0.0129,160.526263532707,57258,17,16,10,0.0212,44.2352845675467
234,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,10,FALSE,1,451,451,9122,16,1002,468,45,0.0071,4632.79971767933,43,28,31,0.0107,166.347900492623,57258,12,12,6,0.0165,37.5155316621038
