id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1025,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,3,FALSE,1,153,153,3183,16,195,129,8,0.0192,672.382706342806,3,2,3,0.0034,14.6562101949598,2798,0,0,0,NaN,0
1026,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,4,FALSE,1,156,156,3183,16,130,88,8,0.0066,677.329651181853,3,2,3,0.0136,13.6456095820653,2798,1,1,1,0.043,1.36695582289703
1027,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,5,FALSE,1,159,159,3183,17,125,73,6,0.0067,675.710691682076,2,1,2,0.0025,12.2973415158829,2798,1,1,1,0.043,1.36695582289703
1028,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,6,FALSE,1,157,157,3183,16,142,71,5,0.004,741.12291291405,5,3,5,0.0119,16.0324277092087,2798,1,1,1,0.043,1.36695582289703
1029,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,7,FALSE,1,155,155,3183,17,203,122,8,0.0156,806.583000515415,4,3,4,0.0089,19.6202534899648,2798,2,2,2,0.0318,3.05277533246818
102,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,165,165,3183,15,56,42,3,0.0166,106.777281595058,1,1,1,0.0133,1.87608451778636,2798,2,2,1,0.0028,5.10418028399882
1030,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,8,FALSE,1,162,162,3183,16,183,116,8,0.0165,759.530596106949,4,3,4,9e-04,19.3063600221788,2798,1,1,1,0.0206,1.68581950957115
1031,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,9,FALSE,1,158,158,3183,15,203,121,8,0.0155,801.130436734006,5,4,5,0.004,19.9463248937385,2798,1,1,1,0.0427,1.36921849913959
1032,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,10,FALSE,1,152,152,3183,15,149,78,7,0.0047,743.98301985685,3,2,3,0.0133,14.1455433299774,2798,1,1,1,0.0427,1.36921849913959
1033,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,11,FALSE,1,166,166,3183,15,174,94,7,0.0091,781.62930474108,3,2,3,0.0155,14.0743034818357,2798,0,0,0,NaN,0
1034,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,12,FALSE,1,161,161,3183,16,177,104,10,0.0073,729.74730471074,7,5,7,0.0172,16.6489640695281,2798,1,1,1,0.0076,2.11658271705839
1035,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,13,FALSE,1,169,169,3183,15,167,104,8,0.0089,742.258197808401,3,2,3,0.002,10.2193633524293,2798,1,1,1,0.0076,2.11658271705839
1036,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,14,FALSE,1,174,174,3183,15,170,105,10,0.0091,829.259550210584,3,1,3,7e-04,16.9513862518528,2798,1,1,1,0.0035,2.44979499331133
1037,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,1,FALSE,1,148,148,3183,17,122,71,8,0.0106,535.568837006018,8,7,8,0.0207,19.3115330824663,2798,0,0,0,NaN,0
1038,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,2,FALSE,1,154,154,3183,16,99,48,4,0.0045,502.08836958295,7,6,7,0.0153,18.396262114668,2798,0,0,0,NaN,0
1039,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,3,FALSE,1,149,149,3183,17,83,56,5,0.0047,469.010342856577,5,5,5,0.0175,15.3055116216562,2798,2,2,1,0.0085,6.50068226375746
103,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,5,FALSE,1,163,163,3183,16,62,36,3,0.0095,159.262270136391,1,1,1,0.0321,1.49292235219354,2798,2,2,1,0.0028,5.10418028399882
1040,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,4,FALSE,1,152,152,3183,16,134,56,6,0.0027,696.832275187949,7,5,7,0.0106,18.1807916801062,2798,0,0,0,NaN,0
1041,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,5,FALSE,1,150,150,3183,16.5,76,55,5,0.0053,491.907964848147,6,6,6,0.0171,21.0034636032737,2798,1,1,1,0.0302,1.5204210013727
1042,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,6,FALSE,1,154,154,3183,17,124,52,5,0.0048,536.33184537451,9,7,9,0.0124,22.9458932186915,2798,1,1,1,0.0477,1.32143293607423
1043,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,7,FALSE,1,149,149,3183,17,119,46,4,0.0021,544.799359803158,7,5,7,0.0122,18.6989935517036,2798,0,0,0,NaN,0
1044,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,8,FALSE,1,153,153,3183,16,121,48,4,0.0026,546.494726980537,6,4,6,0.0088,15.6253730102664,2798,0,0,0,NaN,0
1045,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,9,FALSE,1,155,155,3183,16,129,57,7,0.0048,586.739891963484,5,3,5,0.0084,14.8827648157706,2798,0,0,0,NaN,0
1046,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,10,FALSE,1,149,149,3183,17,134,50,7,0.0065,605.230721655416,5,3,5,0.0111,12.8823752653479,2798,0,0,0,NaN,0
1047,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,11,FALSE,1,148,148,3183,16,139,85,7,0.0079,604.07565756055,3,3,3,0.0267,12.8047799649394,2798,0,0,0,NaN,0
1048,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,12,FALSE,1,151,151,3183,16,148,55,6,0.0063,553.601332606856,6,5,6,0.0156,12.9477333369523,2798,2,2,2,0.0367,2.90707999598271
1049,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,13,FALSE,1,149,149,3183,17,119,56,7,0.0066,509.427679391829,3,3,3,0.0069,12.2918211423546,2798,1,1,1,0.0271,1.56671306610634
104,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,6,FALSE,1,157,157,3183,16,102,83,4,0.0224,185.428772610585,2,2,2,0.0366,2.91877631987382,2798,0,0,0,NaN,0
