id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de
806,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,8,FALSE,1,472,472,9828,16,398,201,31,0.0117,1414.6006441169,19,13,16,0.0112,50.6343290453347,120126
807,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,9,FALSE,1,463,463,9828,17,407,216,31,0.0111,1384.0051264325,16,10,15,0.0106,46.1387301112047,120126
808,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,10,FALSE,1,480,480,9828,16,461,267,28,0.0097,1644.41881802973,19,13,17,0.0154,55.17003273831,120126
809,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,11,FALSE,1,484,484,9828,16,473,266,33,0.0112,1622.74226614196,23,17,17,0.0213,59.1577459097347,120126
80,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,10,FALSE,1,479,479,9828,15,200,164,25,0.0185,412.448685175416,3,3,3,0.0152,5.60770568832742,120126
810,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,12,FALSE,1,475,475,9828,16,420,248,30,0.0106,1489.58381570626,23,19,17,0.0186,60.2875175111009,120126
811,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,13,FALSE,1,477,477,9828,16,418,242,27,0.0097,1623.4742705877,24,19,18,0.0202,63.5628305667168,120126
812,signed,1,TRUE,FALSE,FALSE,FALSE,combat,bicor,14,FALSE,1,466,466,9828,17,486,316,32,0.0116,1717.80042139364,21,17,14,0.0238,54.5025374297502,120126
813,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,1,FALSE,1,466,466,9828,16,246,149,21,0.0106,958.310562010426,14,10,11,0.0065,44.8252085542887,120126
814,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,2,FALSE,1,492,492,9828,16,317,183,30,0.0126,1269.36277300549,12,8,11,0.0158,38.6145935530003,120126
815,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,3,FALSE,1,487,487,9828,16,264,183,21,0.0138,1023.99565830998,15,12,12,0.013,43.6330109244304,120126
816,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,4,FALSE,1,482,482,9828,16,268,177,25,0.012,1020.67740828204,15,12,8,0.0193,43.7793506275235,120126
817,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,5,FALSE,1,471,471,9828,17,272,188,29,0.0113,1000.36739474446,15,12,11,0.012,45.4415268582996,120126
818,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,6,FALSE,1,482,482,9828,16,248,166,26,0.0138,931.168118063788,18,15,12,0.0151,50.5067854351428,120126
819,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,7,FALSE,1,487,487,9828,16,371,267,32,0.0149,1195.19111766792,17,14,12,0.0165,47.8204662209923,120126
81,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,11,FALSE,1,486,486,9828,15,206,170,24,0.0195,398.643720945023,3,3,3,0.0152,5.60770568832742,120126
820,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,8,FALSE,1,478,478,9828,17,419,278,31,0.0145,1343.6568519664,15,10,11,0.0136,42.9629406100191,120126
821,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,9,FALSE,1,473,473,9828,16,362,214,29,0.0131,1339.71634158081,15,11,12,0.0101,44.7536136506962,120126
822,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,10,FALSE,1,481,481,9828,16,373,260,34,0.0163,1230.60056328525,16,12,12,0.0154,45.3716857923767,120126
823,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,11,FALSE,1,493,493,9828,16,442,256,31,0.0105,1725.27095742366,16,11,13,0.0105,50.7978352405682,120126
824,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,12,FALSE,1,483,483,9828,16,380,243,32,0.0126,1352.76264481227,14,9,12,0.0094,42.8907939055005,120126
825,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,13,FALSE,1,482,482,9828,16,370,233,34,0.013,1332.12758532012,16,11,12,0.0141,47.3192591062283,120126
826,signed,1,TRUE,FALSE,FALSE,FALSE,combat,spearman,14,FALSE,1,479,479,9828,16,372,251,36,0.0133,1335.12155055233,17,12,13,0.0132,50.760801196388,120126
827,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,1,FALSE,1,483,483,9828,17,224,162,27,0.0132,758.09806115796,20,14,13,0.018,47.9336000303335,120126
828,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,2,FALSE,1,485,485,9828,16,300,185,28,0.0118,943.440203315219,13,9,12,0.0174,36.5384059973659,120126
829,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,3,FALSE,1,483,483,9828,16,320,204,22,0.014,997.362636157641,11,9,8,0.0192,29.3678283010969,120126
82,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,12,FALSE,1,468,468,9828,15.5,213,178,21,0.0214,416.364414441245,3,3,3,0.0152,5.60770568832742,120126
830,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,4,FALSE,1,478,478,9828,16.5,287,179,25,0.0151,891.686204949266,8,6,8,0.0172,23.1961240988376,120126
