id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
255,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,3,FALSE,1,599,599,12537,17,1807,1148,73,0.0136,5161.27033158951,87,61,37,0.0145,225.095731166129,545480,37174050.37,24189.89,391,271,37,0.0156,1021.13532416405,52,50,18,0.0237,93.1395155754359
256,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,4,FALSE,1,603,603,12537,16,1605,1017,83,0.0144,4525.58898593412,66,44,31,0.0176,177.431485421956,545480,25216603.64,16861.74,344,244,40,0.0138,969.625219323203,63,63,18,0.0277,109.695452249885
257,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,5,FALSE,1,596,596,12537,17,1663,1019,76,0.0131,4754.98359126009,63,49,31,0.0161,167.8120640347,545480,17680850.16,12173.53,411,303,41,0.0134,1146.43883962364,36,35,13,0.0247,64.4839111442169
258,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,6,FALSE,1,606,606,12537,16,1484,930,79,0.0141,4462.43680726121,62,43,33,0.0154,166.584828814192,545480,12750212.96,9049.19,412,304,39,0.0143,1233.23517877053,29,29,14,0.024,49.7198234870384
259,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,7,FALSE,1,587,587,12537,17,1658,967,76,0.0129,5008.68054884425,66,47,30,0.0127,186.764516720207,545480,9419714.34,6894.11,407,282,40,0.0155,1109.59600883454,28,26,13,0.028,45.4209753010206
25,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,11,FALSE,1,584,584,12537,16,1398,934,58,0.0142,3736.18679753886,87,68,30,0.0176,210.621390850763,545480,6622565.23,4503.21,407,325,38,0.0149,1086.27669382196,65,62,21,0.0258,112.286190090446
260,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,8,FALSE,1,606,606,12537,16,1580,957,73,0.013,4498.68818397921,80,63,38,0.019,189.603768076601,545480,7107555.81,5363.32,475,374,42,0.015,1329.92134816831,38,35,16,0.03,59.8173086954416
261,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,9,FALSE,1,584,584,12537,17,1534,917,79,0.0137,4232.01190150549,82,63,32,0.0206,195.505879896338,545480,5463613.47,4248.17,507,380,43,0.0143,1392.60093060397,43,42,13,0.0326,71.084930187486
262,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,10,FALSE,1,614,614,12537,16,1393,858,77,0.0134,4256.77371248506,72,51,33,0.0146,207.635794427217,545480,4270002.94,3417.80,393,301,36,0.0117,1238.28275964994,42,42,18,0.0269,73.1446534037807
263,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,11,FALSE,1,612,612,12537,16,1320,805,79,0.0143,3595.06775728724,70,47,36,0.0185,173.040699802373,545480,3387103.11,2787.53,378,274,41,0.0179,997.980388505146,35,35,15,0.0288,55.8443062997746
264,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,12,FALSE,1,607,607,12537,16,1381,828,76,0.0122,4022.26687868522,79,56,33,0.0186,201.870976591628,545480,2723102.65,2301.00,437,303,42,0.0145,1251.20322337011,64,59,13,0.0256,111.584386422448
265,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,13,FALSE,1,611,611,12537,16,1495,853,74,0.012,4502.29888292096,65,46,32,0.0174,166.239187484934,545480,2216225.69,1919.78,371,270,36,0.0146,1071.09807738535,48,48,16,0.0289,78.9810944575739
266,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,14,FALSE,1,604,604,12537,16,1447,864,77,0.0136,4243.99318175498,71,58,32,0.0178,177.886861786246,545480,1824041.77,1617.06,399,305,38,0.0153,1060.62909352868,41,39,20,0.0246,72.211272605308
267,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,1,FALSE,1,598,598,12537,17,1604,983,87,0.0137,5455.7578277639,122,74,45,0.0152,327.158123846773,545480,83489027.15,54745.36,597,336,54,0.0206,1547.65560029576,50,49,16,0.0312,77.7971875461385
268,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,2,FALSE,1,603,603,12537,16,1362,847,69,0.0109,4818.1802276913,121,91,35,0.0149,325.25030445563,545480,51569028.60,34516.16,661,455,48,0.0172,1768.86829887629,24,24,10,0.0351,35.5610029616905
269,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,3,FALSE,1,596,596,12537,16,1475,951,80,0.0132,5016.77990593064,111,76,33,0.015,309.125292877492,545480,35116371.59,23314.77,512,353,52,0.0153,1433.88057370505,10,10,10,0.0281,16.8496382711137
26,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,12,FALSE,1,596,596,12537,16,1365,842,68,0.0136,3585.42883652985,94,77,29,0.0209,213.163285035466,545480,5535645.47,3769.63,379,294,35,0.0143,995.28237740697,68,68,22,0.0309,110.119309461782
270,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,4,FALSE,1,580,580,12537,17,2073,1250,81,0.015,6098.50181319207,121,94,35,0.0189,307.77122602515,545480,25306701.96,16425.54,629,443,49,0.015,1703.18333110877,111,100,18,0.0262,193.206481539787
271,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,5,FALSE,1,583,583,12537,17,1571,981,82,0.0131,5003.32515336022,126,97,32,0.0192,311.591006511681,545480,18856103.68,11883.92,555,386,50,0.0167,1516.17385261465,61,51,19,0.0256,108.315542884489
272,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,6,FALSE,1,599,599,12537,17,1797,1078,78,0.0141,5486.35406723689,122,91,32,0.0197,296.287851314329,545480,14360632.66,8758.51,614,430,54,0.0184,1597.02969067704,37,37,14,0.0307,58.2553820442031
273,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,7,FALSE,1,581,581,12537,17,1725,1027,89,0.0151,4899.03371297081,113,83,34,0.0182,291.346025269599,545480,11119761.09,6548.87,531,375,48,0.0159,1478.02850774585,55,46,18,0.0259,94.9355223589542
274,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,8,FALSE,1,599,599,12537,17,1750,1050,82,0.0137,5252.69830631022,81,59,30,0.0144,221.417717761113,545480,8733027.30,4957.78,331,246,43,0.0099,1061.70416168267,53,46,15,0.0297,87.3478564109059
275,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,9,FALSE,1,609,609,12537,17,1599,957,90,0.0141,4515.18942243142,105,76,36,0.0162,260.85004582632,545480,6948245.81,3796.07,502,359,57,0.02,1348.77903169523,22,22,14,0.0198,41.3155674858503
276,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,10,FALSE,1,596,596,12537,16,1606,992,84,0.0128,4886.98196650747,100,78,34,0.0173,260.551757300501,545480,5596802.84,2937.95,441,352,51,0.0144,1195.08532876439,62,60,15,0.0269,105.037105361283
277,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,11,FALSE,1,610,610,12537,16,1413,939,71,0.0144,4313.39951683792,91,59,30,0.0172,232.314853794179,545480,4561916.41,2297.40,396,289,45,0.0148,1097.99032975509,34,34,15,0.0228,60.7689457480116
278,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,12,FALSE,1,618,618,12537,16,1564,1049,74,0.0139,4874.02055939603,112,71,39,0.0165,306.157147973313,545480,3760951.65,1814.52,465,313,45,0.0173,1401.49078774217,32,32,12,0.0269,54.9474346314757
279,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,13,FALSE,1,599,599,12537,17,1624,1027,92,0.0147,4853.29490385933,115,77,33,0.0156,298.591021339795,545480,3134591.78,1447.01,411,271,53,0.0162,1124.58758435466,29,29,16,0.027,49.1655599550628
27,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,13,FALSE,1,591,591,12537,16,1299,872,59,0.0144,3468.49119496274,82,67,29,0.0179,176.151850332903,545480,4679807.53,3185.91,334,307,35,0.0144,870.344471805486,66,61,15,0.0281,106.08945532684
280,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,14,FALSE,1,596,596,12537,17,1707,1091,84,0.0159,5303.64288048187,95,67,31,0.0119,294.701170214457,545480,2639792.63,1164.73,458,335,49,0.0202,1208.07346770961,39,37,13,0.0301,62.9234284525222
281,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,1,FALSE,1,612,612,12537,16,1863,1218,82,0.0143,4959.80748945561,121,75,45,0.0184,263.852930977127,545480,80220055.48,51494.27,428,332,54,0.0162,1073.26038168768,53,52,10,0.0285,84.5420294717583
282,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,2,FALSE,1,624,624,12537,16,1797,1181,79,0.0131,4944.8934821459,94,66,40,0.018,223.289019928072,545480,44654039.68,30071.29,373,305,48,0.0117,1038.85936093601,40,39,16,0.0269,65.8695754698299
283,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,3,FALSE,1,618,618,12537,16,1704,1172,75,0.0138,4597.09418093533,120,87,42,0.0203,252.530890377142,545480,27047511.31,19006.78,400,334,40,0.0145,994.654964047022,41,41,15,0.0256,67.0048157558457
284,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,4,FALSE,1,611,611,12537,16,1836,1245,86,0.0139,5056.99495104261,105,68,46,0.018,235.094105216067,545480,17720870.70,12851.60,398,338,46,0.0154,1073.93943985169,13,13,9,0.023,21.821178115784
285,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,5,FALSE,1,611,611,12537,16,1871,1248,79,0.0143,4997.02290300828,94,66,38,0.0158,222.141613941754,545480,12441968.54,9196.23,408,324,52,0.0152,1089.59724853991,27,27,18,0.0243,48.1268791865853
286,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,6,FALSE,1,598,598,12537,17,2215,1341,93,0.0139,6287.10622940327,131,84,41,0.0199,294.978730874744,545480,9259602.35,6897.54,471,344,51,0.0134,1297.89614840951,41,40,16,0.023,73.418857506235
287,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,7,FALSE,1,602,602,12537,17,2282,1362,88,0.0141,6189.9911796603,124,87,42,0.0185,278.13626925048,545480,7226446.48,5378.22,581,451,53,0.0162,1388.7823493749,21,19,14,0.0192,38.6542730833917
288,signed,1,TRUE,FALSE,FALSE,TRUE,none,cor,8,FALSE,1,624,624,12537,16,2166,1362,87,0.0143,5932.77315329488,118,86,42,0.0188,270.99824447788,545480,5858509.03,4329.86,511,395,43,0.017,1280.35436175708,145,125,18,0.0292,232.765755515815
