id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval
1130,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,10,FALSE,1,793,793,16207,16,1002,726,61,0.0123,2830.04646785628,114,85,44,0.0166,268.189301027487,42250,15549059.69,1177.37,386,225,54,0.0095,1289.97149565616
1131,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,11,FALSE,1,793,793,16207,16,1006,721,52,0.011,3067.16648394368,88,66,37,0.0161,238.193881857626,42250,13636058.39,1059.35,360,198,47,0.0079,1338.81899214671
1132,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,12,FALSE,1,809,809,16207,16,1003,715,63,0.0134,2793.30961600516,119,85,43,0.0185,267.027696065738,42250,12060471.74,959.70,393,240,49,0.0098,1467.46003539914
1133,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,13,FALSE,1,765,765,16207,16,1031,808,67,0.013,2852.84689517772,113,81,39,0.0143,276.536783880575,42250,10745662.73,874.56,410,239,47,0.0096,1404.48303544673
1134,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor,14,FALSE,1,788,788,16207,16,945,668,59,0.013,2668.73850437753,91,65,38,0.0128,234.325721292307,42250,9635940.98,801.05,352,216,44,0.0093,1374.1211864986
1135,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,1,FALSE,1,796,796,16207,15,884,546,53,0.011,2878.32796393156,116,86,49,0.019,256.738558132886,42250,134371082.77,7180.41,364,234,48,0.0092,1386.29763957878
1136,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,2,FALSE,1,783,783,16207,17,971,642,57,0.0106,3137.93713601986,120,89,49,0.0188,268.727147295534,42250,81181024.54,4591.26,396,263,46,0.0097,1426.2926906513
1137,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,3,FALSE,1,798,798,16207,16,1079,763,59,0.0123,3200.23363751376,113,83,46,0.0186,264.140996004503,42250,54177329.64,3251.92,400,254,47,0.0115,1431.94931691771
1138,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,4,FALSE,1,790,790,16207,16,1023,719,63,0.0114,3332.30527051057,103,72,42,0.0196,234.148131074285,42250,38589212.92,2451.78,389,294,42,0.0112,1221.60893857353
1139,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,5,FALSE,1,771,771,16207,16,859,622,52,0.0106,2930.10996662164,102,74,40,0.0177,235.791660312736,42250,28772436.19,1927.33,397,295,44,0.0111,1211.5022274682
113,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,1,FALSE,1,806,806,16207,16,1020,697,68,0.0124,3135.19136637264,92,68,44,0.0168,250.658031764606,42250,178571905.82,9980.39,433,253,53,0.0106,1566.64421648555
1140,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,6,FALSE,1,779,779,16207,16,952,679,59,0.0108,3222.61743159883,80,62,36,0.0163,210.894851838194,42250,22192813.68,1561.00,361,270,46,0.013,1186.7253341081
1141,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,7,FALSE,1,783,783,16207,16,846,591,50,0.0125,2460.82175609313,109,81,40,0.0193,238.713065619289,42250,17572402.96,1293.06,340,219,46,0.0118,1211.28881365937
1142,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,8,FALSE,1,788,788,16207,16,849,588,48,0.0122,2492.164374224,127,98,39,0.0168,292.950270065525,42250,14208255.92,1090.15,453,314,53,0.0125,1380.82086431178
1143,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,9,FALSE,1,769,769,16207,17,652,428,40,0.0123,2043.07355692716,89,69,37,0.0162,208.781218187237,42250,11686896.35,932.24,363,220,45,0.0107,1249.62358291069
1144,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,10,FALSE,1,800,800,16207,16,777,523,48,0.011,2376.88817175303,82,64,37,0.0202,201.270370354347,42250,9751859.54,806.65,327,208,48,0.0107,1208.13157508257
1145,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,11,FALSE,1,784,784,16207,16,706,505,46,0.0108,2256.17519096822,104,73,42,0.0196,264.157690009811,42250,8237085.48,704.93,409,242,48,0.0111,1403.62442182758
1146,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,12,FALSE,1,795,795,16207,16,829,543,49,0.0113,2517.73441892362,117,89,47,0.0204,265.003254966357,42250,7031168.75,621.29,434,267,53,0.0113,1420.74448829257
1147,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,13,FALSE,1,794,794,16207,17,792,551,54,0.0123,2392.22409472791,102,76,37,0.0201,242.41850886279,42250,6057111.13,551.62,346,219,45,0.0121,1231.49980788565
1148,signed,1,TRUE,TRUE,FALSE,FALSE,combat,bicor,14,FALSE,1,789,789,16207,17,776,539,44,0.0121,2251.10270282833,80,58,43,0.0181,205.33084786635,42250,5260327.37,492.95,461,311,50,0.0156,1398.42556036596
1149,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,1,FALSE,1,776,776,16207,17,626,506,47,0.0132,1673.27441386749,73,58,32,0.0176,158.511428436206,42250,134769706.82,7238.23,327,182,41,0.0104,916.155965177186
114,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,2,FALSE,1,793,793,16207,16,911,561,71,0.0125,2976.81541323311,102,71,50,0.0183,253.643605706238,42250,130704784.54,7794.90,485,285,59,0.0131,1646.37587672074
1150,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,2,FALSE,1,778,778,16207,16,707,511,55,0.0142,1862.91291885794,69,48,31,0.0179,162.505352770192,42250,81146777.39,4586.72,256,150,39,0.0084,953.948414500915
1151,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,3,FALSE,1,795,795,16207,16,593,437,48,0.0153,1538.8207064395,84,58,37,0.0169,196.743068143747,42250,53886859.41,3208.11,326,213,39,0.0104,1101.04016541849
1152,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,4,FALSE,1,793,793,16207,16,618,458,41,0.0123,1774.72997366827,80,63,37,0.018,181.03434506482,42250,38191274.94,2389.25,307,197,37,0.011,1063.0740636749
1153,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,5,FALSE,1,795,795,16207,16,621,425,48,0.015,1680.50453874571,76,57,33,0.016,188.846386139715,42250,28346156.78,1857.38,312,193,36,0.0102,1105.76621924807
1154,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,6,FALSE,1,791,791,16207,16,632,462,52,0.0144,1637.85099835979,83,65,38,0.0175,197.148221131372,42250,21777125.02,1489.51,352,231,35,0.0105,1072.4744984249
1155,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,7,FALSE,1,783,783,16207,17,839,647,46,0.0133,2393.95651411999,67,53,31,0.0205,151.242708778169,42250,17185532.69,1223.08,325,201,32,0.0085,1157.5958611262
1156,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,8,FALSE,1,782,782,16207,16,731,539,44,0.014,1928.875258135,93,62,37,0.0191,212.883700614897,42250,13857770.49,1023.22,328,177,39,0.0082,1085.75498436212
1157,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,9,FALSE,1,796,796,16207,16,689,499,52,0.0153,1860.61785712602,59,46,34,0.0169,148.783738362605,42250,11374799.96,869.13,334,181,38,0.0098,1090.15972384735
1158,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,10,FALSE,1,818,818,16207,16,861,657,52,0.0145,2289.65947921797,83,61,37,0.0182,191.089760836845,42250,9477263.65,747.64,314,197,38,0.0096,1093.04563064649
1159,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,11,FALSE,1,786,786,16207,16,776,585,50,0.012,2290.14409090188,89,64,37,0.0168,207.960237681247,42250,7997654.83,650.08,352,217,36,0.0118,1232.68542740456
115,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,3,FALSE,1,805,805,16207,16,1019,612,69,0.0121,3255.44725852946,96,68,46,0.0174,256.029027965029,42250,100553721.27,6328.70,434,263,56,0.0118,1582.57179453482
1160,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,12,FALSE,1,791,791,16207,16,758,505,50,0.0129,2145.47180760086,73,56,38,0.0147,183.820749811426,42250,6823923.01,570.50,347,196,41,0.0095,1107.00193881607
1161,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,13,FALSE,1,799,799,16207,16,805,604,51,0.0137,2179.13006722715,66,56,41,0.0165,156.218812146636,42250,5878872.25,504.71,307,175,34,0.0119,1002.66544496733
1162,signed,1,TRUE,TRUE,FALSE,FALSE,combat,spearman,14,FALSE,1,802,802,16207,16,788,609,50,0.013,2215.44054176794,71,54,34,0.0206,166.702299849721,42250,5107965.75,449.69,365,231,37,0.016,1204.91124268328
1163,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,1,FALSE,1,834,834,16207,16,1362,917,75,0.014,4021.5953401877,84,63,37,0.0179,244.517090867343,42250,135477692.72,7146.95,368,235,54,0.0107,1474.00688616448
1164,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,2,FALSE,1,811,811,16207,15,1167,841,73,0.0111,3893.26343111077,89,69,39,0.0141,252.864646900139,42250,83368394.45,4599.56,445,304,55,0.0126,1496.70764743315
1165,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,3,FALSE,1,798,798,16207,15,1108,763,79,0.0135,3412.20457991937,79,58,37,0.0132,221.401938574644,42250,56777945.25,3282.60,352,251,43,0.0114,1285.19029589212
1166,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,4,FALSE,1,801,801,16207,16,1132,782,66,0.011,3861.38472959372,70,54,38,0.0112,228.810114140667,42250,40862596.91,2468.43,393,268,55,0.0112,1469.04984263763
1167,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,5,FALSE,1,785,785,16207,16,1172,843,72,0.0126,3703.54256849741,99,69,39,0.0158,263.007842810103,42250,30361865.90,1911.23,423,297,56,0.0132,1477.21323566659
1168,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,6,FALSE,1,787,787,16207,16,1459,1037,82,0.0132,4450.57145510169,97,65,40,0.0129,279.125940762125,42250,23035233.51,1508.22,381,248,48,0.0105,1415.15766086009
1169,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,7,FALSE,1,798,798,16207,16,1294,907,76,0.0126,4001.62018722065,80,56,38,0.0145,232.024260340795,42250,17750230.77,1207.19,387,265,51,0.0115,1477.69241335252
116,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor,4,FALSE,1,805,805,16207,16,1095,752,71,0.0118,3422.85012524046,83,68,40,0.0193,210.466743414525,42250,80160195.03,5282.39,410,258,54,0.0108,1490.13086360368
1170,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,8,FALSE,1,792,792,16207,16,1240,895,70,0.0125,4001.09936405793,86,58,39,0.0173,233.358691002317,42250,13853611.97,977.53,352,241,48,0.0101,1400.99504721697
1171,signed,1,TRUE,TRUE,FALSE,FALSE,combat,cor-dist,9,FALSE,1,786,786,16207,16,1396,910,61,0.0147,4068.95505878196,72,54,38,0.0162,191.882625203467,42250,10933841.88,799.54,355,233,49,0.0134,1327.96811597437
